SaleID,Time,Service_Arts_time,Service_Elem_School_time,Service_Golf_time,Service_Gym_time,Service_High_School_time,Service_Historic_time,Service_ISU_time,Service_Library_time,Service_Medical_time,Service_Organic_Groceries_time,Service_Park_time,Service_Recreation_time,Service_Religion_time,Service_Restaurant_time,Service_Shopping_time,Service_Spa_time,Closest_5_feature,Closest_all_feature,Central_historic_feature,num_biz_180s_feature,num_biz_480s_feature,Rcrd_Yr,Inst1_Yr,LotArea,YrBuilt,TtlBsmtSF,Fireplaces,PoolArea,GarYrBlt,Cars,GarageArea,TotalArea,TotalArea_Gar,Has_Fireplace,Has_Garage,Has_Bsmt,AsbShng_Ext,BrkComm_Ext,BrkFace_Ext,CemntBd_Ext,HdBoard_Ext,ImStucc_Ext,MetalSd_Ext,No Data_Ext,Plywood_Ext,Stone_Ext,Stucco_Ext,VinylSd_Ext,Wd Sdng_Ext,WdShing_Ext,2 Types_GrType,Attachd_GrType,Basment_GrType,BuiltIn_GrType,Carport_GrType,Detachd_GrType,No Data_GrType,None_GrType,1_Story_HsStyle,1_5_Fin_HsStyle,1_5_Unf_HsStyle,2_Story_HsStyle,2_5_Fin_HsStyle,2_5_Unf_HsStyle,No_Data_HsStyle,S_Foyer_HsStyle,S_Level_HsStyle
541,136.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,229.26,403.6,476.0,1,13,2021.0,2021.0,8466.0,1994.0,906.0,1.0,0.0,1994.0,2.0,394.0,2400.0,2794.0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
569,139.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,263.36,440.4,527.1,1,10,2021.0,2021.0,21077.0,2007.0,2054.0,2.0,0.0,2007.0,2.0,765.0,4146.0,4911.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
589,166.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,260.86,416.54999999999995,486.8,1,12,2021.0,2021.0,5330.0,2000.0,1493.0,0.0,0.0,2000.0,2.0,499.0,3144.0,3643.0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
623,192.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,246.04000000000002,394.52777777777777,460.9,0,15,2021.0,2021.0,6264.0,1997.0,1664.0,1.0,0.0,1997.0,2.0,528.0,3346.0,3874.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
631,192.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.78000000000003,392.6611111111111,458.8,0,15,2021.0,2021.0,7380.0,1998.0,1418.0,0.0,0.0,1998.0,2.0,495.0,2896.0,3391.0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
640,168.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.68,369.23333333333335,434.4,2,15,2021.0,2021.0,5395.0,1993.0,1337.0,1.0,0.0,1993.0,2.0,462.0,2674.0,3136.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
649,166.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.28000000000003,367.8333333333333,433.0,2,15,2021.0,2021.0,5005.0,1991.0,1346.0,0.0,0.0,1991.0,2.0,540.0,2692.0,3232.0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
685,186.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,241.5,391.19444444444446,456.8,0,15,2021.0,2021.0,6127.0,1993.0,1759.0,1.0,0.0,1993.0,2.0,624.0,3545.0,4169.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
697,205.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.68,406.23333333333335,471.4,0,14,2021.0,2021.0,5154.0,1996.0,1366.0,1.0,0.0,1996.0,2.0,498.0,2744.0,3242.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
731,115.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,195.56,368.4777777777778,439.1,2,14,2022.0,2022.0,7666.0,1995.0,909.0,1.0,0.0,1995.0,2.0,396.0,2516.0,2912.0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
